avg_area_income,avg_area_house_age,avg_area_roomNb,avg_area_bedroomNb,area_population,house_price,house_address
79545,5.68,7,4,23087,1059034,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79249,6.00,7,3,40173,1505891,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287,5.87,9,5,36882,1058988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345,7.19,6,3,34310,1260617,"USS Barnett
FPO AP 44820"
59982,5.04,8,4,26354,630943,"USNS Raymond
FPO AE 09386"
80176,4.99,6,4,26748,1068138,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698,6.03,8,3,60828,1502056,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394,6.99,7,2,36516,1573937,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59928,5.36,6,2,29387,798870,"USS Gilbert
FPO AA 20957"
81886,4.42,8,6,40150,1545155,"Unit 9446 Box 0958
DPO AE 97025"
80527,8.09,5,4,47224,1707046,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50594,4.50,7,4,34344,663732,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39034,7.67,7,3,39220,1042814,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73164,6.92,6,2,32326,1291332,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391,5.34,8,4,35521,1402818,"PSC 5330, Box 4420
APO AP 08302"
73092,5.44,9,4,23930,1306675,"2278 Shannon View
North Carriemouth, NM 84617"
79707,5.07,8,3,39718,1556787,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929,4.79,5,4,24596,528485,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508,5.95,7,5,35720,1019426,"Unit 7424 Box 2786
DPO AE 71255"
62085,5.74,7,5,44922,1030591,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86295,6.63,8,4,47561,2146925,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835,5.55,7,2,45575,929248,"USNS Brown
FPO AP 85833"
64491,4.21,5,4,40359,718887,"95198 Ortiz Key
Port Sara, TN 24541-2855"
60697,6.17,7,6,28141,744000,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
59749,5.34,8,4,27810,895737,"24282 Paul Valley
West Perry, MI 03169-5806"
56974,8.29,7,4,40695,1453975,"61938 Brady Falls
Lewisfort, DE 61227"
82174,4.02,7,2,38854,1125693,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
64627,5.44,7,4,27785,975429,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
90499,6.38,4,3,33970,1240764,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
59324,6.98,8,4,37521,1577018,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77812,5.31,7,3,33755,1246830,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
68653,6.12,6,4,39356,1170721,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55041,7.13,9,5,30122,1071279,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50219,6.12,7,6,16811,534305,"039 Jordan Pike
Emilyville, ID 27442"
55909,5.42,9,6,22355,936369,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74373,5.50,7,2,39395,1199194,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
78668,5.47,8,4,27638,1233220,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
78700,5.65,7,3,22837,1081150,"7585 Lynn Loop
East Judy, WV 73336"
53128,5.18,5,2,32948,524713,"Unit 1388 Box 9350
DPO AP 70848"
17797,4.95,7,3,47162,302356,"9932 Eric Circles
Lake Martha, WY 34611-6127"
58567,6.58,5,2,39705,1026817,"7896 Walker Spring
Loriport, MH 72956"
75538,7.85,8,6,32778,1762215,"549 Darren Plaza
Lake Kevin, UT 27155"
46147,6.62,8,4,27161,882057,"90634 Michelle Valleys
North Victoria, WV 99370"
70421,6.91,8,4,43184,1744932,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
62614,5.50,7,6,26889,1153871,"43087 Jerome Field
West Deborah, SD 49213"
66395,7.07,7,3,39741,1499989,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
73947,4.86,8,6,35261,1109588,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
69145,7.30,6,3,19031,980177,"Unit 8108 Box 5159
DPO AP 04678"
77279,6.24,7,2,21726,1323952,"08639 Garcia Port
Anthonybury, CT 17971"
86754,6.60,6,4,43017,1662495,"91863 Curtis Point
New Richard, AK 99996-7554"
74400,6.38,7,6,41085,1417820,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
49408,5.83,6,3,26881,549976,"7796 Joseph Burg
Danielsside, RI 70370"
62280,6.11,6,4,35264,1054771,"173 Mendoza Land
West John, NJ 57690"
73078,5.92,6,3,54916,1415648,"3288 Lee Pass
South Julieton, PW 02759-4964"
72943,4.79,7,6,24378,948788,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
63820,5.95,8,4,27826,1159597,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
73265,8.31,7,3,21031,1547133,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
68488,6.12,7,5,18268,1186689,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
55194,7.19,5,4,32538,772112,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
77435,6.31,5,3,36252,1172730,"4872 Delgado Ramp
North James, IA 36544"
66159,4.48,7,2,37099,1111085,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
60503,7.53,6,4,33580,1022781,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
60911,5.64,7,4,43348,1274475,"PSC 9354, Box 0703
APO AA 58696-1278"
73932,6.39,5,4,36543,1213531,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
59540,6.02,7,5,58601,1411730,"122 Russo Neck
South Kevin, KY 20712-5282"
56548,5.44,7,3,37585,858686,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
65950,5.48,7,3,40111,1200962,"7125 Mullins Cliff
Maryborough, WY 66971"
74533,6.68,6,4,49482,1520234,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
66423,7.12,7,6,31019,1360908,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
74334,5.42,6,4,41640,1360921,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
63538,4.76,7,3,43282,1146532,"10973 Clark Trafficway
Meyersbury, LA 63237"
83953,7.39,7,3,37283,1789099,"91733 Baker Orchard
South Kyle, KS 37301"
57279,5.12,7,3,44024,852099,"024 William Course
East Charlotteview, DE 69073-3104"
56554,5.69,7,3,29682,746097,"PSC 4455, Box 3268
APO AP 45454"
75796,5.79,7,6,33198,1534480,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
70849,5.28,7,3,40459,1215609,"USCGC Thompson
FPO AA 13237-3887"
59787,5.65,7,3,32402,941594,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
64826,4.01,8,4,60286,1204598,"Unit 2139 Box 3667
DPO AP 49517"
65926,7.61,7,3,34171,1597655,"253 Golden Island
East Donald, CT 91882"
64419,6.95,9,6,39318,1492011,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
58544,8.56,7,4,30866,1421217,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
68792,4.73,7,4,48423,1132523,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
82062,4.18,6,4,36271,1102821,"708 Pena Ramp
Terryburgh, CA 31572-1304"
80660,5.44,7,6,52947,1856211,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
66668,6.18,8,3,47075,1687999,"Unit 3857 Box 9497
DPO AE 92239"
64722,5.68,7,4,36116,1063423,"042 Mitchell Mountains
Adamsview, OR 44424"
65200,6.45,7,3,28366,1177290,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
74580,4.64,6,3,42806,1173474,"38449 Shaw Glen
Pattonside, TX 98415"
76274,7.88,5,3,46975,1637260,"82387 Hensley Bypass
Danielmouth, ME 30791"
67562,5.25,8,4,35518,1238938,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
48905,4.84,5,3,32961,201898,"2124 Garcia Viaduct
North Kellytown, DC 30864"
72146,6.40,8,6,28883,1439506,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
70806,4.44,6,3,29269,585609,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
65383,7.51,7,3,35114,1294685,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
95450,6.60,7,3,39389,2014851,"035 Mark Bridge
West Craig, MT 78649"
73699,6.37,7,4,51815,1840236,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
